1;1;-14200.969113072451;4030
1;2;-13495.077869692264;3491
2;2;-14381.356710209951;3444
2;1;-13198.271707297772;3742
3;1;-13577.12603101853;4341
3;2;-13187.756023740158;3644
4;1;-13033.019328314163;4168
4;2;-14199.255380515093;3284
5;1;-13175.96567851976;4070
5;2;-13313.174069429946;3634
6;2;-13428.065185362997;3581
6;1;-14285.426610089708;4489
7;2;-14279.396602271569;3872
7;1;-14404.024579757883;5075
8;2;-15679.798343047976;4141
8;1;-12490.674597382373;5245
9;1;-14443.25174274335;4624
9;2;-14200.803460184783;4390
10;1;-13968.806375249076;4657
10;2;-14670.204100851255;4840
11;2;-14102.222983393518;4965
11;1;-14375.046648990392;5921
12;1;-13379.355621010993;5539
12;2;-14217.774222327966;4513
13;1;-13725.199198967792;4516
13;2;-14081.024624929543;4368
14;1;-14028.905333850425;5197
14;2;-14202.81768349868;4017
15;1;-14934.027915089253;5479
15;2;-14436.425287956745;4563
16;2;-14281.90956495013;4081
16;1;-14560.750731676006;5201
17;2;-14831.817795762197;4358
17;1;-14079.215590161604;4435
18;2;-14337.789000141269;4129
18;1;-13834.912473759674;4586
19;1;-14444.767618791268;4972
19;2;-12306.335029109738;4332
20;1;-13573.79449641976;4018
20;2;-13791.95837406682;3485
21;2;-14551.669778238376;3839
21;1;-13461.07119688844;4434
22;1;-14739.536423340198;3985
22;2;-13829.818901234372;3396
23;2;-13177.55156039223;3315
23;1;-14855.060730628713;3520
24;2;-14538.942128487342;3272
24;1;-13812.30102979004;3908
25;2;-14673.903408187161;3224
25;1;-13498.658990480732;3832
26;2;-14557.940338845521;3822
26;1;-14051.054893490838;4012
27;2;-14755.644566301804;3508
27;1;-14201.282440260262;3874
28;1;-13931.530439585247;3737
28;2;-14855.965522983344;3177
29;2;-13741.329814227696;3240
29;1;-13636.030053129734;3998
30;1;-14860.856901803661;4065
30;2;-13507.938902250748;3223
