1;1;-10533.96874152783;1531
1;2;-13908.75236537456;2297
2;2;-13974.302858070376;1875
2;1;-10837.157990277714;1406
3;2;-14861.337733601258;1969
3;1;-10029.684200055563;1594
4;1;-10923.219788466107;1390
4;2;-13766.405346688825;2047
5;1;-10067.146181629625;1329
5;2;-13307.861624910283;2125
6;2;-13298.209536457345;1814
6;1;-12890.99923758616;1484
7;1;-10904.001975098021;1360
7;2;-13774.193270046708;2031
8;1;-10556.504246775112;1437
8;2;-13620.897259752997;2063
9;2;-13038.821650345333;1875
9;1;-10441.59208757597;1484
10;1;-10437.355463557251;1328
10;2;-12994.987547533341;2094
11;1;-11314.205740996927;1438
11;2;-12981.43425874812;1859
12;1;-9889.893851412551;1438
12;2;-14471.816150708171;1781
13;2;-13944.685887392525;1859
13;1;-11480.00890401619;1438
14;1;-11554.362019624159;1312
14;2;-13209.614908899715;2000
15;2;-13223.525606856676;1907
15;1;-11125.216637729764;1453
16;1;-11257.844698155803;1344
16;2;-13770.712667802645;1875
17;1;-10186.040947000205;1422
17;2;-12407.384031653954;2015
18;2;-13727.06775780446;1922
18;1;-11258.07695613924;1500
19;2;-13175.11710585031;1969
19;1;-11861.842729803015;1437
20;2;-12672.932040031734;1954
20;1;-10932.019200932307;1421
21;2;-13289.612933279166;2032
21;1;-10314.010491094565;1468
22;2;-13365.804596654625;1860
22;1;-9854.169656516087;1469
23;1;-13139.464113586453;1328
23;2;-13532.374834717639;1875
24;2;-14090.163186454327;1844
24;1;-12615.744299916643;1406
25;1;-10828.764065647834;1375
25;2;-12783.918266886549;1828
26;2;-13576.332530839818;1813
26;1;-9064.690865448394;1421
27;2;-13907.841618569868;2125
27;1;-10351.59794101476;1454
28;2;-12370.868363489588;2047
28;1;-10569.36424207514;1500
29;1;-10913.637459982065;1421
29;2;-13344.63738752977;2204
30;2;-12666.486809685244;1921
30;1;-10763.21262483144;1422
